EmployerID,company,sector,city,state,CEO,Website,Zip Code
1,1-800-Flowers.com,Retailing,Jericho,NY,Christopher G. McCann,https://www.1800flowers.com,55144
2,3M,Chemicals,St. Paul,MN,Michael F. Roman,www.3m.com,60064
3,A.O. Smith,Industrials,Milwaukee,WI,Kevin J. Wheeler,https://www.aosmith.com,60064
4,Abbott Laboratories,Health Care,Abbott Park,IL,Robert B. Ford,www.abbott.com,77449
5,AbbVie,Health Care,North Chicago,IL,Richard A. Gonzalez,www.abbvie.com,90404
6,Abercrombie & Fitch,Retailing,New Albany,OH,Fran Horowitz,https://www.abercrombie.com,95110
7,ABM Industries,Business Services,New York,NY,Scott B. Salmirs,https://www.abm.com,27609
8,Academy Sports and Outdoors,Retailing,Katy,TX,Ken C. Hicks,https://www.academy.com,95054
9,Acadia Healthcare,Health Care,Franklin,TN,Christopher H. Hunter,https://www.acadiahealthcare.com,75240
10,Activision Blizzard,Media,Santa Monica,CA,Robert A. Kotick,https://www.activisionblizzard.com,22203
11,Acuity Brands,Industrials,Atlanta,GA,Neil M. Ashe,https://www.acuitybrands.com,31999
12,Acushnet Holdings,"Hotels, Restaurants & Leisure",Fairhaven,MA,David Maher,https://www.acushnetholdingscorp.com,30096
13,AdaptHealth,Health Care,Plymouth Meeting,PA,Stephen P. Griggs,https://www.adapthealth.com,18106
14,Adobe,Technology,San Jose,CA,Shantanu Narayen,https://www.adobe.com,83706
15,ADT,Business Services,Boca Raton,FL,James D. DeVries,https://www.adt.com,15212
16,Advance Auto Parts,Retailing,Raleigh,NC,Thomas R. Greco,https://www.advanceautoparts.com,10018
17,Advanced Micro Devices,Technology,Santa Clara,CA,Lisa Su,https://www.amd.com,60062
18,Advantage Solutions,Business Services,Irvine,CA,Jill Griffin,https://www.advantagesolutions.net,48226
19,AECOM,Engineering & Construction,Dallas,TX,W. Troy Rudd,https://www.aecom.com,94043
20,Aerojet Rocketdyne Holdings,Aerospace & Defense,El Segundo,CA,Eileen P. Drake,https://www.aerojetrocketdyne.com,11101
21,AES,Energy,Arlington,VA,Andr̩s R. Gluski,https://www.aes.com,23230
22,Affiliated Managers Group,Financials,West Palm Beach,FL,Jay C. Horgen,https://www.amg.com,90245
23,Aflac,Financials,Columbus,GA,Daniel P. Amos,https://www.aflac.com,98109
24,AGCO,Industrials,Duluth,GA,Eric P. Hansotia,https://www.agcocorp.com,63103
25,Agilent Technologies,Technology,Santa Clara,CA,Michael R. McMullen,https://www.agilent.com,76155
26,Air Products & Chemicals,Chemicals,Allentown,PA,Seifi Ghasemi,https://www.airproducts.com,43215
27,Airbnb,Technology,San Francisco,CA,Brian Chesky,https://www.airbnb.com,10285
28,Akamai Technologies,Technology,Cambridge,MA,F. Thomson Leighton,https://www.akamai.com,53783
29,Alaska Air Group,Transportation,Seattle,WA,Benito Minicucci,https://www.alaskaair.com,45202
30,Albemarle,Chemicals,Charlotte,NC,J. Kent Masters,https://www.albemarle.com,10020
31,Albertsons,Food & Drug Stores,Boise,ID,Vivek Sankaran,www.albertsonscompanies.com,2116
32,Alcoa,Materials,Pittsburgh,PA,Roy C. Harvey,https://www.alcoa.com,55474
33,Alexandria Real Estate Equities,Financials,Pasadena,CA,Peter M. Moglia,https://www.are.com,19428
34,Alight,Business Services,Lincolnshire,IL,Stephan D. Scholl,https://www.alight.com,91320
35,Align Technology,Health Care,Tempe,AZ,Joseph M. Hogan,https://www.aligntech.com,6492
36,Alleghany,Financials,New York,NY,Joseph P. Brandon,https://www.alleghany.com,1887
37,Alliant Energy,Energy,Madison,WI,John O. Larsen,https://www.alliantenergy.com,43537
38,Allison Transmission Holdings,Motor Vehicles & Parts,Indianapolis,IN,David S. Graziosi,https://www.allisontransmission.com,46204
39,Allstate,Financials,Northbrook,IL,Thomas J. Wilson,www.allstate.com,77056
40,Ally Financial,Financials,Detroit,MI,Jeffrey J. Brown,https://www.ally.com,10019
41,Alpha Metallurgical Resources,Energy,Bristol,TN,David J. Stetson,https://www.alphametresources.com,95014
42,Alphabet,Technology,Mountain View,CA,Sundar Pichai,https://www.abc.xyz,95054
43,Altice USA,Telecommunications,Long Island City,NY,Dennis Mathew,https://www.alticeusa.com,19103
44,Altria Group,"Food, Beverages & Tobacco",Richmond,VA,William F. Gifford Jr.,https://www.altria.com,60601
45,A-Mark Precious Metals,Wholesalers,El Segundo,CA,Gregory N. Roberts,https://www.amark.com,15212
46,Amazon,Retailing,Seattle,WA,Andrew R. Jassy,www.amazon.com,23227
47,AMC Entertainment Holdings,Media,Leawood,KS,Adam M. Aron,https://www.amctheatres.com,80112
48,AMC Networks,Media,New York,NY,Christina Spade,https://www.amcnetworks.com,60008
49,Amedisys,Health Care,Baton Rouge,LA,Christopher T. Gerard,https://www.amedisys.com,30097
50,Amerco,Transportation,Reno,NV,Edward J. Shoen,https://www.amerco.com,10006
51,Ameren,Energy,St. Louis,MO,Martin J. Lyons Jr.,https://www.ameren.com,75202
52,American Airlines Group,Transportation,Fort Worth,TX,Robert D. Isom,www.aa.com,48326
53,American Axle & Manufacturing,Motor Vehicles & Parts,Detroit,MI,David C. Dauch,https://www.aam.com,7068
54,American Eagle Outfitters,Retailing,Pittsburgh,PA,Jay L. Schottenstein,https://www.aeo-inc.com,33301
55,American Electric Power,Energy,Columbus,OH,Nicholas K. Akins,https://www.aep.com,48917
56,American Equity Investment Life Holding,Financials,West Des Moines,IA,Anant Bhalla,https://www.american-equity.com,38103
57,American Express,Financials,New York,NY,Stephen J. Squeri,www.americanexpress.com,19087
58,American Family Insurance Group,Financials,Madison,WI,William Westrate,https://www.amfam.com,91203
59,American Financial Group,Financials,Cincinnati,OH,Carl H. Lindner lll/S. Craig Lindner,https://www.afginc.com,7054
60,American International Group,Financials,New York,NY,Peter S. Zaffino,www.aig.com,85034
61,American National Group,Financials,Galveston,TX,James E. Pozzi,https://www.americannational.com,77073
62,American Tower,Financials,Boston,MA,Thomas A. Bartlett,https://www.americantower.com,80021
63,American Water Works,Energy,Camden,NJ,M. Susan Hardwick,https://www.amwater.com,28255
64,Americold Realty Trust,Financials,Atlanta,GA,George F. Chappelle Jr.,https://www.americold.com,10286
65,Ameriprise Financial,Financials,Minneapolis,MN,James M. Cracchiolo,https://www.ameriprise.com,43230
66,AmerisourceBergen,Health Care,Conshohocken,PA,Steven H. Collis,www.amerisourcebergen.com,60015
67,Ametek,Technology,Berwyn,PA,David A. Zapico,https://www.ametek.com,20170
68,Amgen,Health Care,Thousand Oaks,CA,Robert A. Bradway,https://www.amgen.com,7417
69,Amica Mutual Insurance,Financials,Lincoln,RI,Robert A. DiMuccio,https://www.amica.com,7083
70,Amkor Technology,Technology,Tempe,AZ,Guillaume Marie Jean Rutten,https://www.amkor.com,68131
71,AMN Healthcare Services,Health Care,Dallas,TX,Susan Salka,https://www.amnhealthcare.com,47710
72,Amphenol,Technology,Wallingford,CT,R. Adam Norwitt,https://www.amphenol.com,55423
73,Analog Devices,Technology,Wilmington,MA,Vincent T. Roche,https://www.analog.com,2142
74,Andersons,"Food, Beverages & Tobacco",Maumee,OH,Patrick Bowe,https://andersonsinc.com,1581
75,Annaly Capital Management,Financials,New York,NY,David L. Finkelstein,https://www.annaly.com,10055
76,Antero Resources,Energy,Denver,CO,Paul M. Rady,https://www.anteroresources.com,10154
77,Anywhere Real Estate,Financials,Madison,NJ,Ryan M. Schneider,https://www.realogy.com,94103
78,APA,Energy,Houston,TX,John J. Christmann IV,https://www.apacorp.com,60606
79,APi Group,Engineering & Construction,New Brighton,MN,Russell A. Becker,https://www.apigroupcorp.com,83702
80,Apollo Global Management,Financials,New York,NY,Marc Rowan,https://www.apollo.com,6854
81,Apple,Technology,Cupertino,CA,Timothy D. Cook,www.apple.com,22102
82,Applied Industrial Technologies,Wholesalers,Cleveland,OH,Neil A. Schrimsher,https://www.applied.com,48326
83,Applied Materials,Technology,Santa Clara,CA,Gary E. Dickerson,https://www.appliedmaterials.com,1752
84,AppLovin,Technology,Palo Alto,CA,Adam Foroughi,https://www.applovin.com,28277
85,AptarGroup,Materials,Crystal Lake,IL,Stephan B. Tanda,https://www.aptar.com,10016
86,Aramark,Business Services,Philadelphia,PA,John J. Zillmer,https://www.aramark.com,95131
87,ArcBest,Transportation,Fort Smith,AR,Judy R. McReynolds,https://www.arcb.com,75201
88,Arch Resources,Energy,St. Louis,MO,Paul A. Lang,https://www.archrsc.com,8016
89,Archer Daniels Midland,"Food, Beverages & Tobacco",Chicago,IL,Juan R. Luciano,www.adm.com,55347
90,Arconic,Materials,Pittsburgh,PA,Timothy D. Myers,https://www.arconic.com,89501
91,Ares Management,Financials,Los Angeles,CA,Michael Arougheti,https://www.aresmgmt.com,8103
92,Arista Networks,Technology,Santa Clara,CA,Jayshree V. Ullal,https://www.arista.com,60069
93,ARKO,Retailing,Richmond,VA,Arie Kotler,https://www.arkocorp.com,22102
94,Arrow Electronics,Wholesalers,Centennial,CO,Sean J. Kerins,www.arrow.com,43017
95,Arthur J. Gallagher,Financials,Rolling Meadows,IL,J. Patrick Gallagher Jr.,https://www.ajg.com,20004
96,Asbury Automotive Group,Retailing,Duluth,GA,David W. Hult,https://www.asburyauto.com,23238
97,ASGN,Business Services,Glen Allen,VA,Theodore S. Hanson,https://www.asgn.com,33418
98,Ashland,Chemicals,Wilmington,DE,Guillermo Novo,https://www.ashland.com,85281
99,Assurant,Financials,New York,NY,Keith W. Demmings,https://www.assurant.com,50021
100,AT&T,Telecommunications,Dallas,TX,John T. Stankey,www.att.com,60015
101,ATI,Materials,Pittsburgh,PA,Robert S. Wetherbee,https://www.atimaterials.com,75201
102,Atkore,Industrials,Harvey,IL,William E. Waltz,https://www.atkore.com,60069
103,Atlas Air Worldwide Holdings,Transportation,Purchase,NY,John W. Dietrich,https://www.atlasairworldwide.com,75039
104,Atmos Energy,Energy,Dallas,TX,John K. Akers,https://www.atmosenergy.com,63105
105,Autodesk,Technology,San Rafael,CA,Andrew Anagnost,https://www.autodesk.com,77002
106,Autoliv,Motor Vehicles & Parts,Auburn Hills,MI,Mikael Bratt,https://www.autoliv.com,60015
107,Automatic Data Processing,Business Services,Roseland,NJ,Carlos A. Rodriguez,https://www.adp.com,76262
108,AutoNation,Retailing,Fort Lauderdale,FL,Michael M. Manley,https://www.autonation.com,6902
109,Auto-Owners Insurance,Financials,Lansing,MI,Jeffrey S. Tagsold,https://www.auto-owners.com,77002
110,AutoZone,Retailing,Memphis,TN,William C. Rhodes III,https://www.autozone.com,94583
111,AvalonBay Communities,Financials,Arlington,VA,Benjamin W. Schall,https://www.avalonbay.com,33004
112,Avantor,Technology,Radnor,PA,Michael Stubblefield,https://www.avantorsciences.com,92660
113,Avaya Holdings,Technology,Durham,NC,Alan Masarek,https://www.avaya.com,55077
114,Avery Dennison,Materials,Glendale,CA,Mitchell R. Butier,https://www.averydennison.com,6002
115,Avient,Chemicals,Avon Lake,OH,Robert M. Patterson,https://www.avient.com,45014
116,Avis Budget Group,Retailing,Parsippany,NJ,Joseph A. Ferraro,https://www.avisbudgetgroup.com,45262
117,Avnet,Wholesalers,Phoenix,AZ,Philip R. Gallagher,https://www.avnet.com,95134
118,Baker Hughes,Energy,Houston,TX,Lorenzo Simonelli,https://www.bakerhughes.com,10013
119,Ball,Materials,Westminster,CO,Daniel W. Fisher,https://www.ball.com,2903
120,Bank of America,Financials,Charlotte,NC,Brian T. Moynihan,www.bankofamerica.com,44114
121,Bank of New York Mellon,Financials,New York,NY,Robin Vince,https://www.bnymellon.com,94612
122,Bath & Body Works,Retailing,Columbus,OH,Sarah E. Nash,https://www.bbwinc.com,49201
123,Baxter International,Health Care,Deerfield,IL,Jos̩ E. Almeida,https://www.baxter.com,30313
124,Beacon Roofing Supply,Wholesalers,Herndon,VA,Julian G. Francis,https://www.becn.com,7666
125,Beazer Homes USA,Engineering & Construction,Atlanta,GA,Allan P. Merrill,https://www.beazer.com,19801
126,Becton Dickinson,Health Care,Franklin Lakes,NJ,Thomas E. Polen,https://www.bd.com,10022
127,Bed Bath & Beyond,Retailing,Union,NJ,Sue Gove,https://www.bedbathandbeyond.com,19103
128,Belden,Industrials,St. Louis,MO,Roel Vestjens,https://www.belden.com,75039
129,Benchmark Electronics,Technology,Tempe,AZ,Jeffrey W. Benck,https://www.bench.com,28602
130,Berkshire Hathaway,Financials,Omaha,NE,Warren E. Buffett,www.berkshirehathaway.com,37067
131,Berry Global Group,Materials,Evansville,IN,Thomas E. Salmon,https://www.berryglobal.com,10011
132,Best Buy,Retailing,Richfield,MN,Corie S. Barry,www.investors.bestbuy.com,60654
133,Big Lots,Retailing,Columbus,OH,Bruce K. Thorn,https://www.biglots.com,77079
134,Biogen,Health Care,Cambridge,MA,Michel Vounatsos,https://www.biogen.com,10003
135,Bio-Rad Laboratories,Technology,Hercules,CA,Norman D. Schwartz,https://www.bio-rad.com,14564
136,BJ&#8217;s Wholesale Club,Retailing,Westborough,MA,Robert W. Eddy,https://www.bjs.com,14831
137,BlackRock,Financials,New York,NY,Laurence D. Fink,https://www.blackrock.com,46268
138,Blackstone,Financials,New York,NY,Stephen A. Schwarzman,https://www.blackstone.com,98027
139,Block,Business Services,San Francisco,CA,Jack Dorsey,https://www.block.xyz,19067
140,Bloomin' Brands,"Hotels, Restaurants & Leisure",Tampa,FL,David J. Deno,https://www.bloominbrands.com,32202
141,BlueLinx Holdings,Wholesalers,Marietta,GA,Dwight A.K. Gibson,https://www.bluelinxco.com,47201
142,Boeing,Aerospace & Defense,Chicago,IL,David L. Calhoun,www.boeing.com,2895
143,Boise Cascade,Wholesalers,Boise,ID,Nathan Jorgensen,https://www.bc.com,76011
144,Booking Holdings,Technology,Norwalk,CT,Glenn D. Fogel,https://www.bookingholdings.com,43537
145,Booz Allen Hamilton Holding,Technology,McLean,VA,Horacio D. Rozanski,https://www.boozallen.com,20037
146,BorgWarner,Motor Vehicles & Parts,Auburn Hills,MI,Frederic B. Lissalde,https://www.borgwarner.com,32837
147,Boston Properties,Financials,Boston,MA,Owen D. Thomas,https://www.bxp.com,80202
148,Boston Scientific,Health Care,Marlborough,MA,Michael F. Mahoney,https://www.bostonscientific.com,80237
149,Boyd Gaming,"Hotels, Restaurants & Leisure",Las Vegas,NV,Keith E. Smith,https://www.boydgaming.com,61265
150,Bread Financial Holdings,Business Services,Columbus,OH,Ralph J. Andretta,https://www.breadfinancial.com,37027
151,Bright Health Group,Health Care,Minneapolis,MN,G. Mike Mikan,https://www.brighthealthcare.com,78682
152,Brighthouse Financial,Financials,Charlotte,NC,Eric T. Steigerwalt,https://www.brighthousefinancial.com,30354
153,BrightView Holdings,Business Services,Blue Bell,PA,Andrew V. Masterman,https://www.brightview.com,73102
154,Brinker International,"Hotels, Restaurants & Leisure",Dallas,TX,Kevin Hochman,https://www.brinker.com,79701
155,Brink's,Business Services,Richmond,VA,Mark Eubanks,https://www.brinks.com,15108
156,Bristol-Myers Squibb,Health Care,New York,NY,Giovanni Caforio,www.bms.com,72201
157,Broadcom,Technology,San Jose,CA,Hock E. Tan,https://www.broadcom.com,60015
158,Broadridge Financial Solutions,Business Services,Lake Success,NY,Timothy C. Gokey,https://www.broadridge.com,80112
159,Brookdale Senior Living,Health Care,Brentwood,TN,Lucinda M. Baier,https://www.brookdale.com,37072
160,Brown & Brown,Financials,Daytona Beach,FL,J. Powell Brown,https://www.bbinsurance.com,23320
161,Brown-Forman,"Food, Beverages & Tobacco",Louisville,KY,Lawson E. Whiting,https://www.brown-forman.com,23219
162,Bruker,Technology,Billerica,MA,Frank H. Laukien,https://www.bruker.com,60515
163,Brunswick,Transportation,Mettawa,IL,David M. Foulkes,https://www.brunswick.com,48674
164,Builders FirstSource,Materials,Dallas,TX,David Flitman,https://www.bldr.com,48226
165,Burlington Stores,Retailing,Burlington,NJ,Michael B. O?Sullivan,https://www.burlingtoninvestors.com,28202
166,BWX Technologies,Aerospace & Defense,Lynchburg,VA,Rex D. Geveden,https://www.bwxt.com,19805
167,C.H. Robinson Worldwide,Transportation,Eden Prairie,MN,Robert C. Biesterfeld Jr.,https://www.chrobinson.com,22102
168,Cabot,Chemicals,Boston,MA,Sean D. Keohane,https://www.cabotcorp.com,37660
169,CACI International,Technology,Reston,VA,John S. Mengucci,https://www.caci.com,95125
170,Cadence Design Systems,Technology,San Jose,CA,Anirudh Devgan,https://www.cadence.com,55102
171,Caesars Entertainment,"Hotels, Restaurants & Leisure",Reno,NV,Thomas R. Reeg,https://www.caesars.com,91770
172,Caleres,Retailing,St. Louis,MO,Diane M. Sullivan,https://www.caleres.com,46285
173,Calumet Specialty Products Partners,Energy,Indianapolis,IN,Stephen P. Mawer,https://www.calumetspecialty.com,6851
174,Campbell Soup,"Food, Beverages & Tobacco",Camden,NJ,Mark A. Clouse,https://www.campbellsoupcompany.com,63136
175,Camping World Holdings,Retailing,Lincolnshire,IL,Marcus A. Lemonis,https://www.campingworld.com,75225
176,Capital One Financial,Financials,McLean,VA,Richard D. Fairbank,www.capitalone.com,75201
177,Cardinal Health,Health Care,Dublin,OH,Jason Hollar,www.cardinalhealth.com,70113
178,Carlisle,Materials,Scottsdale,AZ,D. Christian Koch,https://www.carlisle.com,77002
179,Carlyle Group,Financials,Washington,DC,William Conway Jr.,https://www.carlyle.com,77002
180,CarMax,Retailing,Richmond,VA,William D. Nash,www.carmax.com,94065
181,Carrier Global,Industrials,Palm Beach Gardens,FL,David L. Gitlin,https://www.corporate.carrier.com,10104
182,Carter's,Apparel,Atlanta,GA,Michael D. Casey,https://www.carters.com,16530
183,Carvana,Retailing,Tempe,AZ,Ernest C. Garcia III,https://www.carvana.com,10153
184,Casey's General Stores,Retailing,Ankeny,IA,Darren M. Rebelez,https://www.caseys.com,1104
185,Catalent,Health Care,Somerset,NJ,Alessandro Maselli,https://www.catalent.com,60603
186,Caterpillar,Industrials,Deerfield,IL,D. James Umpleby III,www.caterpillar.com,98119
187,Cboe Global Markets,Financials,Chicago,IL,Edward T. Tilly,https://www.cboe.com,98104
188,CBRE Group,Financials,Dallas,TX,Robert E. Sulentic,https://www.cbre.com,75039
189,CDW,Technology,Lincolnshire,IL,Christine A. Leahy,https://www.cdw.com,20005
190,Celanese,Chemicals,Irving,TX,Lori J. Ryerkerk,https://www.celanese.com,91367
191,Centene,Health Care,St. Louis,MO,Sarah M. London,www.centene.com,38120
192,CenterPoint Energy,Energy,Houston,TX,David J. Lesar,https://www.centerpointenergy.com,32204
193,Central Garden & Pet,Household Products,Walnut Creek,CA,Timothy P. Cofer,https://www.central.com,32204
194,Century Aluminum,Materials,Chicago,IL,Jesse E. Gary,https://www.centuryaluminum.com,45263
195,Century Communities,Engineering & Construction,Greenwood Village,CO,Dale Francescon/Robert Francescon,https://www.centurycommunities.com,92707
196,Cerner,Health Care,North Kansas City,MO,David T. Feinberg,https://www.cerner.com,44308
197,CF Industries Holdings,Chemicals,Deerfield,IL,W. Anthony Will,https://www.cfindustries.com,53045
198,ChampionX,Energy,The Woodlands,TX,Sivasankaran Somasundaram,https://www.championx.com,75039
199,Change Healthcare,Health Care,Nashville,TN,Heather Cianfrocco (Optum),https://www.changehealthcare.com,2919
200,Charles River Laboratories International,Health Care,Wilmington,MA,James C. Foster,https://www.criver.com,10001
201,Charles Schwab,Financials,Westlake,TX,Walter W. Bettinger II,https://www.aboutschwab.com,48126
202,Charter Communications,Telecommunications,Stamford,CT,Thomas M. Rutledge,www.charter.com,60015
203,Cheesecake Factory,"Hotels, Restaurants & Leisure",Calabasas Hills,CA,David M. Overton,https://www.thecheesecakefactory.com,10036
204,Chemed,Health Care,Cincinnati,OH,Kevin J. McNamara,https://www.chemed.com,94403
205,Chemours,Chemicals,Wilmington,DE,Mark E. Newman,https://www.chemours.com,22102
206,Cheniere Energy,Energy,Houston,TX,Jack A. Fusco,https://www.cheniere.com,85004
207,Chesapeake Energy,Energy,Oklahoma City,OK,Domenic J. Dell&#039;Osso Jr.,https://www.chk.com,6851
208,Chevron,Energy,San Ramon,CA,Michael K. Wirth,www.chevron.com,94105
209,Chewy,Retailing,Dania Beach,FL,Sumit Singh,https://www.chewy.com,20190
210,Chipotle,"Hotels, Restaurants & Leisure",Newport Beach,CA,Brian Niccol,https://www.chipotle.com,2210
211,CHS,"Food, Beverages & Tobacco",Inver Grove Heights,MN,Jay D. Debertin,www.chsinc.com,55426
212,Church & Dwight,Household Products,Ewing,NJ,Matthew T. Farrell,https://www.churchdwight.com,48265
213,Ciena,Technology,Hanover,MD,Gary B. Smith,https://www.ciena.com,30339
214,Cigna,Health Care,Bloomfield,CT,David Cordani,https://www.cigna.com,23230
215,Cincinnati Financial,Financials,Fairfield,OH,Steven J. Johnston,https://www.cinfin.com,94404
216,Cintas,Business Services,Cincinnati,OH,Todd M. Schneider,https://www.cintas.com,2453
217,Cisco Systems,Technology,San Jose,CA,Charles H. Robbins,www.cisco.com,30326
218,Citigroup,Financials,New York,NY,Jane Fraser,www.citigroup.com,10282
219,Citizens Financial Group,Financials,Providence,RI,Bruce W. Van Saun,https://www.citizensbank.com,44316
220,Citrix Systems,Technology,Fort Lauderdale,FL,Robert M. Calderoni,https://www.citrix.com,30328
221,Clean Harbors,Business Services,Norwell,MA,Alan S. McKim,https://www.cleanharbors.com,63105
222,Clear Channel Outdoor Holdings,Business Services,San Antonio,TX,Scott R. Wells,https://www.clearchanneloutdoor.com,77024
223,Cleveland-Cliffs,Materials,Cleveland,OH,C. Lourenco Goncalves,https://www.clevelandcliffs.com,10001
224,Clorox,Household Products,Oakland,CA,Linda Rendle,https://www.thecloroxcompany.com,6831
225,CME Group,Financials,Chicago,IL,Terrence A. Duffy,https://www.cmegroup.com,77032
226,CMS Energy,Energy,Jackson,MI,Garrick J. Rochow,https://www.cmsenergy.com,27105
227,CNO Financial Group,Financials,Carmel,IN,Gary C. Bhojwani,https://www.cnoinc.com,6155
228,Coca-Cola,"Food, Beverages & Tobacco",Atlanta,GA,James R. Quincey,www.coca-colacompany.com,2861
229,Coca-Cola Consolidated,"Food, Beverages & Tobacco",Charlotte,NC,J. Frank Harrison III,https://www.cokeconsolidated.com,37203
230,Cognizant Technology Solutions,Technology,Teaneck,NJ,Brian Humphries,https://www.cognizant.com,11747
231,Coherent,Technology,Saxonburg,PA,Vincent D. Mattera Jr.,https://www.ii-vi.com,17033
232,Coinbase Global,Financials,Wilmington,DE,Brian Armstrong,https://www.coinbase.com,33928
233,Colgate-Palmolive,Household Products,New York,NY,Noel R. Wallace,https://www.colgatepalmolive.com,10036
234,Columbia Sportswear,Apparel,Portland,OR,Timothy P. Boyle,https://www.columbia.com,77070
235,Comcast,Telecommunications,Philadelphia,PA,Brian L. Roberts,www.comcastcorporation.com,75201
236,Comerica,Financials,Dallas,TX,Curtis C. Farmer,https://www.comerica.com,30339
237,Comfort Systems USA,Engineering & Construction,Houston,TX,Brian E. Lane,https://www.comfortsystemsusa.com,28202
238,Commercial Metals,Materials,Irving,TX,Barbara R. Smith,https://www.cmc.com,55912
239,CommScope Holding,Technology,Hickory,NC,Charles L. Treadway,https://www.commscope.com,94304
240,Community Health Systems,Health Care,Franklin,TN,Tim L. Hingtgen,https://www.chs.net,40202
241,Compass,Technology,New York,NY,Robert L. Reffkin,https://www.compass.com,23607
242,Conagra Brands,"Food, Beverages & Tobacco",Chicago,IL,Sean M. Connolly,https://www.conagrabrands.com,77380
243,Concentrix,Technology,Fremont,CA,Christopher A. Caldwell,https://www.concentrix.com,33160
